,0,1
0,2016060300,4760
1,2016060301,6279
2,2016060302,3852
3,2016060303,3795
4,2016060304,2137
5,2016060305,2613
6,2016060306,2625
7,2016060307,2570
8,2016060308,2645
9,2016060309,3744
10,2016060310,3138
11,2016060311,3570
12,2016060312,4291
13,2016060313,5772
14,2016060314,5845
15,2016060315,5081
16,2016060316,5554
17,2016060317,5486
18,2016060318,5094
19,2016060319,3162
20,2016060320,3463
21,2016060321,3950
22,2016060322,4069
23,2016060323,4029
24,2016060400,5238
25,2016060401,4552
26,2016060402,3611
27,2016060403,4662
28,2016060404,4163
29,2016060405,2710
30,2016060406,2595
31,2016060407,2629
32,2016060408,2400
33,2016060409,2153
34,2016060410,2776
35,2016060411,3498
36,2016060412,3660
37,2016060413,4626
38,2016060414,3999
39,2016060415,2946
40,2016060416,3147
41,2016060417,2920
42,2016060418,2963
43,2016060419,2923
44,2016060420,2675
45,2016060421,2286
46,2016060422,1458
47,2016060423,2049
48,2016060500,1648
49,2016060501,1867
50,2016060502,1785
51,2016060503,2062
52,2016060504,1706
53,2016060505,2670
54,2016060506,1897
55,2016060507,1745
56,2016060508,1828
57,2016060509,1577
58,2016060510,2202
59,2016060511,2089
60,2016060512,1744
61,2016060513,2197
62,2016060514,2463
63,2016060515,2687
64,2016060516,1726
65,2016060517,2104
66,2016060518,1986
67,2016060519,2329
68,2016060520,1267
69,2016060521,2706
70,2016060522,2132
71,2016060523,1410
72,2016060600,2299
73,2016060601,1895
74,2016060602,2524
75,2016060603,2265
76,2016060604,2289
77,2016060605,2752
78,2016060606,2500
79,2016060607,2703
80,2016060608,3257
81,2016060609,4093
82,2016060610,4428
83,2016060611,3764
84,2016060612,3229
85,2016060613,3961
86,2016060614,2437
87,2016060615,1537
88,2016060616,1981
89,2016060617,1399
90,2016060618,1389
91,2016060619,1380
92,2016060620,858
93,2016060621,1386
94,2016060622,1865
95,2016060623,1148
96,2016072101,2144
97,2016072102,1983
98,2016072103,2698
99,2016072104,2726
100,2016072105,2303
101,2016072106,715
102,2016072107,1788
103,2016072108,2728
104,2016072109,2767
105,2016072110,3369
106,2016072111,5969
107,2016072112,3191
108,2016072113,2049
109,2016072114,5050
110,2016072115,3513
111,2016072116,3715
112,2016072117,6399
113,2016072118,2942
114,2016072119,2471
115,2016072120,3458
116,2016072121,5600
117,2016072122,4592
118,2016072123,5814
119,2016072200,4305
120,2016072201,2343
121,2016072202,222443
122,2016072203,35723
123,2016072204,5670
124,2016072205,-659937
125,2016072206,3006
126,2016072207,2277
127,2016072208,2876
128,2016072209,7116
129,2016072210,883
130,2016072211,4644
131,2016091306,2513
132,2016091307,2446
133,2016091309,6104
134,2016091310,5535
135,2016091311,3480
136,2016091312,4163
137,2016091313,4578
138,2016091314,5882
139,2016091315,4542
140,2016091316,3768
141,2016091317,3674
142,2016091318,3106
143,2016091319,3298
144,2016091320,3876
145,2016091321,4517
146,2016091322,6582
147,2016091323,5721
148,2016091400,3804
149,2016091401,3970
150,2016091402,4600
151,2016091403,5740
152,2016091404,2506
153,2016091405,2922
154,2016091406,5383
155,2016091407,3604
156,2016091408,6800
157,2016091409,4734
158,2016091410,4429
159,2016091411,2924
160,2016091412,2035
161,2016091413,7436
162,2016091414,5574
163,2016091415,5105
164,2016091416,4231
165,2016091417,6218
166,2016091418,3861
167,2016091419,3280
168,2016091420,2191
169,2016091421,1745
170,2016091422,2557
171,2016091423,3079
172,2016091500,3038
173,2016091501,2512
174,2016091502,2908
175,2016091503,2981
176,2016091504,2353
177,2016091505,2128
178,2016091506,1900
179,2016091507,2344
180,2016091508,2396
181,2016091509,2568
182,2016091510,2910
183,2016091511,5977
184,2016091512,3424
185,2016091513,8088
186,2016091514,3569
187,2016091515,5193
188,2016091516,6247
189,2016091517,5393
190,2016091518,3801
191,2016091519,5351
192,2016091520,2741
193,2016091521,4620
194,2016091522,9638
195,2016091523,7017
196,2016091600,7108
197,2016091601,9706
198,2016091602,8903
199,2016091603,5926
200,2016091604,4510
201,2016091605,5677
202,2016091606,4940
203,2016091607,4434
204,2016091608,1784
205,2016091609,5445
206,2016091610,3063
207,2016091611,5116
208,2016091612,1262
209,2016091613,2394
210,2016091614,1422
211,2016091615,2157
212,2016091616,1853
213,2016091617,1756
214,2016091618,1561
215,2016091619,2694
216,2016091620,2452
217,2016091621,973
218,2016091622,2711
219,2016091623,2430
220,2016091700,2560
221,2016091701,2803
222,2016091702,1763
223,2016091703,1573
224,2016091704,1372
225,2016091705,1165
226,2016091706,1701
227,2016091707,1438
228,2016091708,1321
229,2016091709,2355
230,2016091710,1644
231,2016091711,2286
232,2016091712,2094
233,2016091713,1437
234,2016091714,1166
235,2016091715,1032
236,2016091716,1082
237,2016091717,2990
238,2016091718,-254
239,2016091719,-91
240,2016091720,2659
241,2016091721,1165
242,2016091722,1527
243,2016091723,1446
244,2016091800,2225
245,2016091801,1469
246,2016091802,1425
247,2016091803,823
248,2016091804,729
249,2016091805,1106
250,2016091806,2037
251,2016091807,1483
252,2016091808,1519
253,2016091809,1451
254,2016091810,1048
255,2016091811,1429
256,2016091812,868
257,2016091813,1561
258,2016091814,906
259,2016091815,1259
260,2016091816,589
261,2016091817,823
262,2016091818,739
263,2016091819,587
264,2016091820,896
265,2016091821,377
266,2016091822,618
267,2016091823,775
268,2016091900,421
269,2016091901,565
270,2016091902,558
271,2016091903,536
272,2016091904,370
273,2016091905,296
274,2016091906,320
275,2016091907,361
276,2016091908,85
277,2016091909,440
278,2016091910,1304
279,2016091911,6055
280,2016091912,4801
281,2016091913,7312
282,2016091914,10843
283,2016091915,10921
284,2016091916,18816
285,2016091917,12154
286,2016091918,10353
287,2016091919,10142
288,2016091920,10507
289,2016091921,6770
290,2016091922,3676
291,2016091923,1673
292,2016092000,1225
293,2016092001,903
294,2016092002,1307
295,2016092003,1097
296,2016092004,685
297,2016092005,675
298,2016092006,805
299,2016092007,678
300,2016092008,950
301,2016092009,1628
302,2016092010,1878
303,2016092011,2578
304,2016092012,4374
305,2016092013,3293
306,2016092014,6899
307,2016092015,7536
308,2016092016,6597
309,2016092017,4120
310,2016092018,4043
311,2016092019,3631
312,2016092020,4661
313,2016092021,5908
314,2016092022,4841
315,2016092023,6687
316,2016092100,7306
317,2016092101,4430
318,2016092102,3410
319,2016092103,2815
320,2016092104,2715
321,2016092105,2255
322,2016092106,1894
323,2016092107,1829
324,2016092108,1446
325,2016092109,1902
326,2016092110,3066
327,2016092111,2790
328,2016092112,3896
329,2016092113,3806
330,2016092114,3294
331,2016092115,5361
332,2016092116,7337
333,2016092117,6732
334,2016092118,4896
335,2016092119,5163
336,2016092120,4758
337,2016092121,6305
338,2016092122,10087
339,2016092123,6001
340,2016092200,2648
341,2016092201,2066
342,2016092202,2890
343,2016092203,2968
344,2016092204,3026
345,2016092205,2616
346,2016092206,3276
347,2016092207,2671
348,2016092208,2783
349,2016092209,3589
350,2016092210,3097
351,2016092211,4479
352,2016092212,6247
353,2016092213,9678
354,2016092214,5732
355,2016092215,4043
356,2016092216,4024
357,2016092217,2422
358,2016092218,2420
359,2016092219,2813
360,2016092220,3379
361,2016092221,8679
362,2016092222,8550
363,2016092223,5884
364,2016092300,4213
365,2016092301,4113
366,2016092302,4212
367,2016092303,3930
368,2016092304,3144
369,2016092305,3148
370,2016092306,3448
371,2016092307,3008
372,2016092308,2940
373,2016092309,3536
374,2016092310,4932
375,2016092311,5743
376,2016092312,6208
377,2016092313,4531
378,2016092314,6058
379,2016092315,6112
380,2016092316,6873
381,2016092317,5661
382,2016092318,4351
383,2016092319,2105
384,2016092320,1851
385,2016092321,5413
386,2016092322,2722
387,2016092323,7797
388,2016092400,3522
389,2016092401,3494
390,2016092402,2752
391,2016092403,2902
392,2016092404,3721
393,2016092405,3884
394,2016092406,3679
395,2016092407,3996
396,2016092408,5747
397,2016092409,7228
398,2016092410,5645
399,2016092411,5387
400,2016092412,6176
401,2016092413,7479
402,2016092414,11501
403,2016092415,8406
404,2016092416,10148
405,2016092417,10548
406,2016092418,10808
407,2016092419,8672
408,2016092420,8813
409,2016092421,5942
410,2016092422,6003
411,2016092423,7847
412,2016092500,4137
413,2016092501,4935
414,2016092502,6612
415,2016092503,6310
416,2016092504,6012
417,2016092505,5116
418,2016092506,5351
419,2016092507,4328
420,2016092508,4849
421,2016092509,4907
422,2016092510,5293
423,2016092511,4088
424,2016092512,852
425,2016092513,1956
426,2016092514,2850
427,2016092515,3357
428,2016092516,2239
429,2016092517,2016
430,2016092518,1873
431,2016092519,-132
432,2016092520,3571
433,2016092521,790
434,2016092522,2106
435,2016092523,2814
436,2016092600,1791
437,2016092601,2999
438,2016092602,4004
439,2016092603,1167
440,2016092604,1526
441,2016092605,2239
442,2016092606,984
443,2016092607,2494
444,2016092608,811
445,2016092609,4459
446,2016092610,4894
447,2016092611,5433
448,2016092612,5436
449,2016092613,6134
450,2016092614,14159
451,2016092615,10090
452,2016092616,11345
453,2016092617,12078
454,2016092618,10233
455,2016092619,7201
456,2016092620,1645
457,2016092621,615
458,2016092622,361
459,2016092623,475
460,2016092700,348
461,2016092701,492
462,2016092702,314
463,2016092703,212
464,2016092704,306
465,2016092705,100
466,2016092706,297
467,2016092707,448
468,2016092708,372
469,2016092709,199
470,2016092710,401
471,2016092711,415
472,2016092712,393
473,2016092713,771
474,2016092714,706
475,2016092715,3439
476,2016092716,1251
477,2016092717,2781
478,2016092718,1266
479,2016092719,780
480,2016092720,361
481,2016092721,270
482,2016092722,1192
483,2016092723,907
484,2016092800,896
485,2016092801,312
486,2016092802,341
487,2016092803,232
488,2016092804,250
489,2016092805,211
490,2016092806,252
491,2016092807,241
492,2016092808,266
493,2016092809,1067
494,2016092810,2048
495,2016092811,4628
496,2016092812,4073
497,2016092813,9319
498,2016092814,10810
499,2016092815,11814
500,2016092816,13430
501,2016092817,12946
502,2016092818,12954
503,2016092819,15926
504,2016092820,15244
505,2016092821,14341
506,2016092822,15243
507,2016092823,10214
508,2016092900,12768
509,2016092901,11166
510,2016092902,5684
511,2016092903,2285
512,2016092904,1486
513,2016092905,1268
514,2016092906,1140
515,2016092907,1397
516,2016092908,2175
517,2016092909,2084
518,2016092910,4499
519,2016092911,5236
520,2016092912,5507
521,2016092913,5220
522,2016092914,7544
523,2016092915,7822
524,2016092916,12054
525,2016092917,14163
526,2016092918,10506
527,2016092919,10413
528,2016092920,12153
529,2016092921,9575
530,2016092922,13425
531,2016092923,6643
532,2016093000,4167
533,2016093001,2160
534,2016093002,5456
535,2016093003,5429
536,2016093004,6611
537,2016093005,6473
538,2016093006,5829
539,2016093007,5896
540,2016093008,2723
541,2016093009,4400
542,2016093010,5479
543,2016093011,5865
544,2016093012,5467
545,2016093013,8398
546,2016093014,5810
547,2016093015,6331
548,2016093016,7690
549,2016093017,7269
550,2016093018,8837
551,2016093019,9486
552,2016093020,9872
553,2016093021,12014
554,2016093022,12003
555,2016093023,12280
556,2016100100,11324
557,2016100101,7198
558,2016100102,7694
559,2016100103,5291
560,2016100104,5731
561,2016100105,5715
562,2016100106,4508
563,2016100107,4089
564,2016100108,3889
565,2016100109,4171
566,2016100110,4935
567,2016100111,5846
568,2016100112,7412
569,2016100113,7425
570,2016100114,11476
571,2016100115,10203
572,2016100116,11437
573,2016100117,14262
574,2016100118,12896
575,2016100119,10950
576,2016100120,11277
577,2016100121,12540
578,2016100122,12820
579,2016100123,8050
580,2016100200,5269
581,2016100201,4410
582,2016100202,8950
583,2016100203,10054
584,2016100204,10464
585,2016100205,10046
586,2016100206,10137
587,2016100207,10038
588,2016100208,10079
589,2016100209,11425
590,2016100210,17357
591,2016100211,22542
592,2016100212,21355
593,2016100213,16156
594,2016100214,6712
595,2016100215,5561
596,2016100216,5156
597,2016100217,8524
598,2016100218,6859
599,2016100219,7434
600,2016100220,6511
601,2016100221,8322
602,2016100222,7654
603,2016100223,11546
604,2016100300,8673
605,2016100301,6259
606,2016100302,6809
607,2016100303,7540
608,2016100304,7417
609,2016100305,5028
610,2016100306,2875
611,2016100307,2210
612,2016100308,3088
613,2016100309,3865
614,2016100310,4020
615,2016100311,4902
616,2016100312,9573
617,2016100313,9729
618,2016100314,5238
619,2016100315,3404
620,2016100316,1223
621,2016100317,738
622,2016100318,792
623,2016100319,705
624,2016100320,708
625,2016100321,719
626,2016100322,1106
627,2016100323,932
628,2016100400,1211
629,2016100401,1494
630,2016100402,1091
631,2016100403,1178
632,2016100404,1280
633,2016100405,1718
634,2016100406,1597
635,2016100407,1901
636,2016100408,1442
637,2016100409,1502
638,2016100410,1804
639,2016100411,1848
640,2016100412,1434
641,2016100413,2141
642,2016100414,2036
643,2016100415,1860
644,2016100416,3799
645,2016100417,3196
646,2016100418,3807
647,2016100419,2278
648,2016100420,1624
649,2016100421,1772
650,2016100422,2262
651,2016100423,1721
652,2016100500,1298
653,2016100501,1422
654,2016100502,1309
655,2016100503,1171
656,2016100504,1200
657,2016100505,1747
658,2016100506,1644
659,2016100507,1487
660,2016100508,1777
661,2016100509,2552
662,2016100510,3219
663,2016100511,4661
664,2016100512,6025
665,2016100513,6835
666,2016100514,7652
667,2016100515,6627
668,2016100516,6539
669,2016100517,7153
670,2016100518,9198
671,2016100519,5106
672,2016100520,3457
673,2016100521,2909
674,2016100522,3274
675,2016100523,3094
676,2016100600,2218
677,2016100601,2114
678,2016100602,2019
679,2016100603,1924
680,2016100604,1937
681,2016100605,1610
682,2016100606,2232
683,2016100607,1877
684,2016100608,1909
685,2016100609,2513
686,2016100610,1836
687,2016100611,3732
688,2016100612,2524
689,2016100613,2251
690,2016100614,1994
691,2016100615,1471
692,2016100616,2271
693,2016100617,1342
694,2016100618,1464
695,2016100619,1459
696,2016100620,1383
697,2016100621,1559
698,2016100622,1681
699,2016100623,1684
700,2016100700,1733
701,2016100701,1729
702,2016100702,1716
703,2016100703,1592
704,2016100704,1722
705,2016100705,1673
706,2016100706,1736
707,2016100707,1915
708,2016100708,1659
709,2016100709,1756
710,2016100710,2869
711,2016100711,3070
712,2016100712,2300
713,2016100713,2587
714,2016100714,1314
715,2016100715,983
716,2016100716,2803
717,2016100717,1302
718,2016100718,328
719,2016100719,266
720,2016100720,307
721,2016100721,316
722,2016100722,240
723,2016100723,461
724,2016100800,270
725,2016100801,365
726,2016100802,346
727,2016100803,212
728,2016100804,391
729,2016100805,278
730,2016100806,477
731,2016100807,450
732,2016100808,370
733,2016100809,383
734,2016100810,621
735,2016100811,6158
736,2016100812,6244
737,2016100813,5755
738,2016100814,5088
739,2016100815,5902
740,2016100816,6009
741,2016100817,10734
742,2016100818,10175
743,2016100819,8514
744,2016100820,11553
745,2016100821,12974
746,2016100822,14647
747,2016100823,12188
748,2016100900,10583
749,2016100901,13249
750,2016100902,8839
751,2016100903,4914
752,2016100904,3122
753,2016100905,1838
754,2016100906,2115
755,2016100907,970
756,2016100908,488
757,2016100909,769
758,2016100923,12102
759,2016101010,11963
760,2016101012,16950
761,2016101013,18771
