,0,1
0,2016063015,9558
1,2016063016,-1052
2,2016063017,8404
3,2016063018,6824
4,2016063019,4228
5,2016063020,3375
6,2016063021,3563
7,2016063022,5582
8,2016063023,-2278
9,2016070100,3904
10,2016070101,4922
11,2016070102,-396
12,2016070103,-2306
13,2016070104,1438
14,2016070105,927
15,2016070106,658
16,2016070107,2436
17,2016070108,1671
18,2016070109,1982
19,2016070110,-273
20,2016070111,-775
21,2016070112,1249
22,2016070113,4712
23,2016070114,-1366
24,2016070115,3891
25,2016070116,4169
26,2016070117,1919
27,2016070118,-4595
28,2016070119,-5795
29,2016070120,2839
30,2016070121,10897
31,2016070122,4072
32,2016070123,-30
33,2016070200,7693
34,2016070201,6758
35,2016070202,3989
36,2016070203,5303
37,2016070204,-5720
38,2016070205,1829
39,2016070206,4693
40,2016070207,700
41,2016070208,2856
42,2016070209,-5439
43,2016070210,4151
44,2016070211,-7276
45,2016070212,2452
46,2016070213,2070
47,2016070214,4017
48,2016070215,4769
49,2016070216,4071
50,2016070217,5830
51,2016070218,5754
52,2016070219,-3094
53,2016070220,7240
54,2016070221,8521
55,2016070222,5453
56,2016070223,8431
57,2016070300,1156
58,2016070301,4151
59,2016070302,6410
60,2016070303,-6558
61,2016070304,3682
62,2016070305,6050
63,2016070306,-3813
64,2016070307,1518
65,2016070308,6589
66,2016070309,6529
67,2016070310,2642
68,2016070311,925
69,2016070312,281
70,2016070313,4805
71,2016070314,7830
72,2016070315,-1002
73,2016070316,6719
74,2016070317,-5705
75,2016070318,7963
76,2016070319,5962
77,2016070320,-5928
78,2016070321,12836
79,2016070322,11577
80,2016070323,6643
81,2016070400,7697
82,2016070401,7724
83,2016070402,1297
84,2016070403,-7031
85,2016070404,-10854
86,2016070405,-10620
87,2016070406,-8762
88,2016070407,-5450
89,2016070408,2251
90,2016070409,4429
91,2016070410,379
92,2016070411,1584
93,2016070412,1690
94,2016070413,-1587
95,2016070414,4361
96,2016070415,3928
97,2016070416,4624
98,2016070417,6168
99,2016070418,4558
100,2016070419,-4994
101,2016070420,6784
102,2016070421,5226
103,2016070422,4129
104,2016070423,3562
105,2016070500,-444
106,2016070501,-3506
107,2016070502,5229
108,2016070503,3535
109,2016070504,4600
110,2016070505,43
111,2016070506,360
112,2016070507,5131
113,2016070508,5049
114,2016070509,-412
115,2016070510,5353
116,2016070511,-1059
117,2016070512,4346
118,2016070513,6430
119,2016070514,8281
120,2016070515,-1173
121,2016070516,5383
122,2016070517,-3291
123,2016070518,4414
124,2016070519,3368
125,2016070520,-3058
126,2016070521,5471
127,2016070522,10867
128,2016070523,-4392
129,2016070600,3683
130,2016070601,-247
131,2016070602,-991
132,2016070603,5111
133,2016070604,1093
134,2016070605,-2558
135,2016070606,-475
136,2016070607,4223
137,2016070608,-315
138,2016070609,6185
139,2016070610,5919
140,2016070611,-4151
141,2016070612,-494
142,2016070613,-5396
143,2016070614,1913
144,2016070615,3310
145,2016070616,3557
146,2016070617,1530
147,2016070618,4449
148,2016070619,-1765
149,2016070620,7936
150,2016070621,7178
151,2016070622,5095
152,2016070623,7033
153,2016070700,-7109
154,2016070701,1409
155,2016070702,3660
156,2016070703,-154
157,2016070704,5293
158,2016070705,-3338
159,2016070706,9305
160,2016070707,-1389
161,2016070708,289
162,2016070709,137
163,2016070710,2075
164,2016070711,5554
165,2016070712,6612
166,2016070713,3380
167,2016070714,3431
168,2016070715,4037
169,2016070716,513
170,2016070717,6044
171,2016070718,7001
172,2016070719,-1854
173,2016070720,5034
174,2016070721,3283
175,2016070722,4600
176,2016070723,6282
177,2016070800,-9716
178,2016070801,3811
179,2016070802,3483
180,2016070803,5263
181,2016070804,4698
182,2016070805,-3035
183,2016070806,-3956
184,2016070807,-2474
185,2016070808,-234
186,2016070809,-8031
187,2016070810,-4095
188,2016070811,6665
189,2016070812,-7298
190,2016070813,7164
191,2016070814,4324
192,2016070815,5633
193,2016070816,7218
194,2016070817,5792
195,2016070818,875
196,2016070819,1708
197,2016070820,6177
198,2016070821,1631
199,2016070822,5317
200,2016070823,6166
201,2016070900,7493
202,2016070901,-10068
203,2016070902,3389
204,2016070903,5392
205,2016070904,670
206,2016070905,348
207,2016070906,-1725
208,2016070907,-2609
209,2016070908,4028
210,2016070909,-5650
211,2016070910,-3379
212,2016070911,-6709
213,2016070912,7042
214,2016070913,-2629
215,2016070914,5153
216,2016070915,5778
217,2016070916,5678
218,2016070917,3409
219,2016070918,4519
220,2016070919,5060
221,2016070920,5421
222,2016070921,-2078
223,2016070922,6053
224,2016070923,7306
225,2016071000,7617
226,2016071001,8129
227,2016071002,7056
228,2016071003,7319
229,2016071004,5624
230,2016071005,-8082
231,2016071006,1646
232,2016071007,823
233,2016071008,2048
234,2016071009,-677
235,2016071010,156
236,2016071011,-409
237,2016071012,4743
238,2016071013,1706
239,2016071014,3266
240,2016071015,-1529
241,2016071016,2763
242,2016071017,8045
243,2016071018,5415
244,2016071019,5429
245,2016071020,6085
246,2016071021,3499
247,2016071022,1426
248,2016071023,1782
249,2016071100,7291
250,2016071101,4283
251,2016071102,991
252,2016071103,5477
253,2016071104,3798
254,2016071105,5096
255,2016071106,-1717
256,2016071107,-6451
257,2016071108,-1101
258,2016071109,1890
259,2016071110,5906
260,2016071111,6377
261,2016071112,2151
262,2016071113,5216
263,2016071114,-1160
264,2016071115,4434
265,2016071116,1793
266,2016071117,2592
267,2016071118,5009
268,2016071119,5156
269,2016071120,4837
270,2016071121,-302
271,2016071122,-3747
272,2016071123,-4899
273,2016071200,3534
274,2016071201,7782
275,2016071202,4823
276,2016071203,4216
277,2016071204,557
278,2016071205,-159
279,2016071206,4226
280,2016071207,3283
281,2016071208,7314
282,2016071209,2717
283,2016071210,3231
284,2016071211,3800
285,2016071212,5460
286,2016071213,2740
287,2016071214,4388
288,2016071215,6403
289,2016071216,12571
290,2016071217,7466
291,2016071218,6276
292,2016071219,5138
293,2016071220,8091
294,2016071221,5380
