"","time_jjj","t2m_2016_changpin","d2m_2016_changpin","u10_2016_changpin","v10_2016_changpin","blh_2016_changpin","sp_2016_changpin","e_2016_changpin","tp_2016_changpin","fal_2016_changpin","wind_direction","wind_speed"
"1",0,-7.09386904807894,-11.5147995343215,0.344171872582176,-0.629345631549584,12.1033146023929,95687.7237775243,-6.78659903266088e-07,-1.73472347597681e-18,0.106619650786157,-90.0790117863925,0.717307606140675
"2",1,-6.52444191013348,-10.7744530725455,0.485982358925888,-0.838349544030417,15.3337563127652,95708.9368838982,-6.31696847903766e-06,-1.73472347597681e-18,0.106619650786157,-94.563244791364,0.969024670048797
"3",2,1.20123334901558,-7.12707806629231,0.476232887989758,-0.760503842993538,63.6247182908965,95677.4829675507,-2.19393915760262e-05,-1.73472347597681e-18,0.106619650786157,-100.704033784889,0.897309232545283
"4",3,2.16450409628953,-7.48474911757614,-0.144631147533808,0.0882501943721938,201.953888965817,95640.9086462164,-4.20949398402464e-05,-1.73472347597681e-18,0.106619650786157,-184.127285897193,0.169429234914391
"5",4,2.65467478034537,-6.49762050187485,-0.322337413233272,0.836984300708723,316.924481119584,95518.3846697465,-5.56943153419415e-05,-1.73472347597681e-18,0.106595099906016,-66.1700315406156,0.896908093174985
"6",5,4.82020496662199,-7.07380790971814,-0.421604753673871,1.25452033354289,362.73048793589,95440.4813653045,-5.92533805558837e-05,-1.73472347597681e-18,0.106595099906016,-58.3578309323884,1.32346962020024
"7",6,4.46050259896907,-6.70091681369877,-0.38482265877847,1.24508449099297,365.132611258988,95331.8556309417,-5.34277527583256e-05,-1.73472347597681e-18,0.106582824465946,-53.9568371678373,1.30319755540768
"8",7,3.97277057503288,-6.26497124663246,-0.524417356273062,1.13940305443381,245.937595330119,95357.823399089,-3.81050404161954e-05,-1.73472347597681e-18,0.106558273585806,-77.6430364088984,1.2542937789902
"9",8,1.61092824912197,-4.1787379718188,-0.721179406074963,1.32717632117731,75.055512035291,95350.5085348222,-1.44278907823902e-05,-1.73472347597681e-18,0.106558273585806,-89.5962853270854,1.51046242033372
"10",9,4.05202702892251,-4.89625436649158,0.518776033892872,0.48502737359653,15.5822518289478,95404.6385303969,-1.54166082264083e-07,-1.73472347597681e-18,0.106570549025876,147.421132360621,0.710197244770469
"11",10,-3.00179736725443,-6.85311726105363,0.95085485947137,-1.08651220309344,18.8955253780478,95374.6475869028,7.8243002666809e-07,-1.73472347597681e-18,0.106619650786157,-129.404100253784,1.44382607375379
"12",11,-3.41758891766,-7.1009865610315,0.821452790682733,-1.03461506906885,14.0084468931254,95400.9810982635,9.32285404097203e-07,-1.73472347597681e-18,0.106644201666297,-120.789533686218,1.32106511136461
"13",12,-2.46407281086476,-6.86833730578911,0.498833934250787,-0.687376063231621,12.8488011509403,95416.7080564372,8.01161948846729e-07,-1.73472347597681e-18,0.106644201666297,-112.998915361198,0.849306273533829
"14",13,-2.67379758115737,-7.30645716496048,0.439450793094358,-0.665201833239298,12.0204827636653,95402.8098143302,2.57936205666086e-07,-1.73472347597681e-18,0.106656477106367,-105.085828305069,0.797251828781962
"15",14,-2.98594607647652,-7.5706336557264,0.463381312664859,-0.788339578515816,12.2689782798479,95402.4440711168,-2.3042627013501e-08,-1.73472347597681e-18,0.106656477106367,-95.6513140886435,0.914440556833248
"16",15,-5.01369196599114,-9.08937669111702,0.509469720726566,-0.887887717417522,12.5174737960306,95424.3886639174,-2.66557615335918e-07,-1.73472347597681e-18,0.106656477106367,-93.7677180966892,1.02367182000781
"17",16,-5.00027933533289,-9.08611525295947,0.585249699366487,-1.01479979971401,12.7659693122127,95380.4994783163,-5.10072603658227e-07,-1.73472347597681e-18,0.106668752546437,-94.1619191889984,1.17146738926364
"18",17,-5.09050975976112,-9.40464904635206,0.613611796635229,-1.05678929906117,12.8488011509403,95371.721641196,-5.85000292372892e-07,-1.73472347597681e-18,0.106668752546437,-94.690962307756,1.22201598172042
"19",18,-4.86859168887014,-9.6133810884387,0.611839165555933,-1.05018420927623,12.7659693122127,95349.7770483955,-6.41196058908809e-07,-1.73472347597681e-18,0.106668752546437,-94.9551183595799,1.21541517101002
"20",19,-4.94540948264006,-9.91452054499075,0.627792845269601,-1.02423564226393,12.5174737960306,95348.3140755421,-7.91051436337922e-07,-1.73472347597681e-18,0.106668752546437,-98.978110036656,1.20132531291716
"21",20,-5.70871010010018,-10.4678778857308,0.631781265198017,-0.986020479936739,12.434641957303,95284.6747564204,-8.09783358516562e-07,-1.73472347597681e-18,0.106668752546437,-102.570643787908,1.17106103765341
"22",21,-5.93062817099116,-10.5668081765114,0.633553896277314,-0.97092313185686,12.3518101185755,95270.0450278867,-8.4724720287384e-07,-1.73472347597681e-18,0.106668752546437,-104.066975480674,1.15934562036646
"23",22,-6.10499236954831,-10.8016317238589,0.569296019652819,-1.03319969268636,12.7659693122127,95253.5865832863,-8.4724720287384e-07,-1.73472347597681e-18,0.106717854306717,-90.6503148403229,1.1796607830049
"24",23,-6.00744596476113,-10.5548495699335,0.619372847642943,-1.04640987225626,12.6831374734857,95251.7578672196,-7.72319514159283e-07,-1.73472347597681e-18,0.106717854306717,-96.1999815859795,1.2159754706213
"25",24,-6.03549055613746,-10.4635293015206,0.698698088441457,-1.0289535635389,12.6831374734857,95324.1750234615,-9.40906813767036e-07,-1.73472347597681e-18,0.106730129746787,-107.373279745635,1.24375417776631
"26",25,-5.40265825508027,-9.55684949370686,0.807714899818186,-1.19549618454507,14.3397742480356,95369.8929251293,-6.87892614439705e-06,-1.73472347597681e-18,0.106717854306717,-106.953009315917,1.44278012415271
"27",26,3.13387149386267,-5.14955939673212,0.688062301965678,-0.95960012079695,38.7751666726472,95392.5690043566,-2.30071111402089e-05,-1.73472347597681e-18,0.106717854306717,-111.971600470202,1.18078877163523
"28",27,3.58624294606346,-5.84750716245924,0.106639307956458,-0.0282824611193768,158.715669150064,95383.7911672364,-4.53542942993303e-05,-1.73472347597681e-18,0.106717854306717,-236.078764036037,0.110326060422737
"29",28,3.62526150797834,-5.98883614928872,-0.247443750132999,0.398217622137222,300.109617857902,95314.2999567012,-6.20819008048588e-05,-1.73472347597681e-18,0.106717854306717,-100.078314489368,0.468834388734983
"30",29,7.51614372892919,-6.19104531506014,-0.504475256630978,0.496350384656439,369.439866872818,95226.5215854989,-6.66524898164478e-05,-1.73472347597681e-18,0.106693303426577,-142.832907781477,0.707713917414011
"31",30,7.23935580534544,-5.59746357037631,-0.885590938679704,0.493047839763966,353.536153837138,95157.7618613904,-6.03211001200664e-05,-1.73472347597681e-18,0.106668752546437,-191.30216155506,1.01359137869632
"32",31,6.58579489327093,-4.85929140070539,-1.08279614625143,0.577970422713288,235.500783650454,95171.6601034975,-4.44551620347555e-05,-1.73472347597681e-18,0.106644201666297,-194.489019286176,1.2273945184285
"33",32,3.49113520139593,-2.89481848377557,-1.33761186390029,0.766687273711784,71.4109111312814,95184.0953727511,-1.45402823154621e-05,-1.73472347597681e-18,0.106644201666297,-189.06007819831,1.54175707363982
"34",33,6.06757961783876,-3.99827172709809,-0.59665207275439,-0.249552968915112,16.3277383774953,95243.711516526,-3.78949148407753e-07,-1.73472347597681e-18,0.106656477106367,211.437401829144,0.646738262527011
"35",34,2.14255615521239,-4.65164650467131,0.384056071866345,-0.975641053131822,17.1560567647703,95263.8273932599,5.20183116167142e-07,-1.73472347597681e-18,0.106717854306717,-67.5028473707289,1.04851062507424
"36",35,-0.720430825292965,-5.58115637958826,0.529854978138474,-0.81287276914562,13.0972966671229,95320.1518481147,5.7637888270306e-07,-1.73472347597681e-18,0.106742405186857,-103.978929061907,0.970313576467212
"37",36,-1.03989530097118,-5.79532415193756,0.468699205902748,-0.753426961081094,12.1033146023929,95360.0178583691,4.26523505273838e-07,-1.73472347597681e-18,0.106742405186857,-100.170689191613,0.887316815628871
"38",37,-1.14841567629696,-5.92578167824172,0.350819239129537,-0.665673625366794,11.3578280538454,95378.6707622496,1.83008516951529e-07,-1.73472347597681e-18,0.106754680626928,-87.3043976687923,0.752459642806442
"39",38,-1.88367170238075,-6.58785362423521,0.320684510781499,-0.653878822179388,11.440659892573,95362.9438040758,-7.92383935495269e-08,-1.73472347597681e-18,0.106754680626928,-82.0738248845698,0.728282959810178
"40",39,-3.36881571526641,-7.4227817925817,0.318911879702202,-0.693509360889072,11.7719872474831,95385.6198833031,-2.2909377097864e-07,-1.73472347597681e-18,0.106754680626928,-77.5830302902615,0.763321701942216
"41",40,-3.48343274089137,-7.47496480310332,0.283459258116274,-0.729837354706282,12.1861464411204,95361.1150880091,-2.85289537514557e-07,-1.73472347597681e-18,0.106754680626928,-66.6819287118629,0.782950646807634
"42",41,-3.42368556795924,-7.37277307416508,0.267505578402606,-0.759560258738545,12.8488011509403,95310.6425245678,-2.47825693157279e-07,-1.73472347597681e-18,0.106766956066998,-60.9515752166572,0.805289402098077
"43",42,-2.36774573613741,-6.67265101633291,0.251995056458763,-0.815231729783101,13.6771195382153,95320.1518481147,-2.10361848800001e-07,-1.73472347597681e-18,0.106766956066998,-53.9625827035976,0.853290268153108
"44",43,-1.48373144275308,-6.54871636634397,0.197043493000574,-0.724175849176327,13.8427832156704,95300.4017145942,-6.41196058908809e-07,-1.73472347597681e-18,0.106766956066998,-47.8191592615518,0.750504362854822
"45",44,-0.561917917513711,-6.35411722294032,0.147409822780275,-0.656709574944365,14.2569424093081,95302.5961738742,-4.5387683712231e-07,-1.73472347597681e-18,0.106766956066998,-39.7453229181783,0.673050608554603
"46",45,-0.600936479428583,-6.10298648480483,0.090242470472966,-0.842123881050387,15.4994199902203,95308.0823220744,-3.04021459693197e-07,-1.73472347597681e-18,0.106766956066998,-19.215572221442,0.846945296056617
"47",46,-2.71281614307225,-6.36064009925548,-0.425150015832463,-1.67719594671873,31.9001240582647,95330.026914875,-2.2909377097864e-07,-1.73472347597681e-18,0.106828333267348,44.6866787022264,1.73024240488207
"48",47,-4.44426482804568,-6.62046800581123,-0.702123621972527,-1.55075565654974,30.574814638625,95420.731231784,-1.54166082264083e-07,-1.73472347597681e-18,0.106828333267348,76.5267552705516,1.70229864796187
"49",48,-4.3515957434978,-6.27692985321033,-0.576709973112306,-1.25494199260959,34.6335747362723,95440.4813653045,-1.16702237906805e-07,-1.73472347597681e-18,0.106828333267348,77.5382716342964,1.38111324586441
"50",49,-3.36271906496717,-5.8116313427256,-0.747768872264409,-0.595848390497351,62.2994088712567,95525.6995340134,-5.88613426892896e-06,-1.73472347597681e-18,0.106828333267348,161.637886758362,0.956134713722847
"51",50,0.107494285338703,-3.61124773239578,-0.820446746515562,0.0910809471371712,188.120971898325,95550.2043293074,-1.82866667511908e-05,-1.73472347597681e-18,0.106828333267348,-262.842333761198,0.825486888326746
"52",51,0.113590935637887,-3.94717586262897,-0.845706739395535,0.335469269180222,335.892972188181,95529.3569661468,-3.3084885272319e-05,-1.73472347597681e-18,0.106828333267348,-214.768997007028,0.909812903636424
"53",52,0.130661556475673,-3.98196453631004,-0.871853047815157,0.631754725247859,403.566584428547,95456.2083234782,-4.57476646650819e-05,-1.73472347597681e-18,0.106816057827278,-169.873712269609,1.07668090438048
