"","t2m","rh","blh","sp","e","tp","fal","wind_direction","wind_speed","bc"
"1",-7.093869048,0.706821453331639,12.1033146,95687.72378,-6.79e-07,-1.73e-18,0.106619651,-90.07901179,0.717307606,7037
"2",-6.52444191,0.717731056343744,15.33375631,95708.93688,-6.32e-06,-1.73e-18,0.106619651,-94.56324479,0.96902467,7795
"3",1.201233349,0.538465089187587,63.62471829,95677.48297,-2.19e-05,-1.73e-18,0.106619651,-100.7040338,0.897309233,13582
"4",2.164504096,0.488971841263559,201.953889,95640.90865,-4.21e-05,-1.73e-18,0.106619651,-184.1272859,0.169429235,12013
"5",2.65467478,0.50949324975481,316.9244811,95518.38467,-5.57e-05,-1.73e-18,0.1065951,-66.17003154,0.896908093,8770
"6",4.820204967,0.418655808304688,362.7304879,95440.48137,-5.93e-05,-1.73e-18,0.1065951,-58.35783093,1.32346962,7607
"7",4.460502599,0.441768397070485,365.1326113,95331.85563,-5.34e-05,-1.73e-18,0.106582824,-53.95683717,1.303197555,7869
"8",3.972770575,0.472622639498311,245.9375953,95357.8234,-3.81e-05,-1.73e-18,0.106558274,-77.64303641,1.254293779,6763
"9",1.610928249,0.65429731348477,75.05551204,95350.50853,-1.44e-05,-1.73e-18,0.106558274,-89.59628533,1.51046242,6262
"10",4.052027029,0.521519725302613,15.58225183,95404.63853,-1.54e-07,-1.73e-18,0.106570549,147.4211324,0.710197245,6377
"11",-3.001797367,0.747491660300713,18.89552538,95374.64759,7.82e-07,-1.73e-18,0.106619651,-129.4041003,1.443826074,8612
"12",-3.417588918,0.756438200544444,14.00844689,95400.9811,9.32e-07,-1.73e-18,0.106644202,-120.7895337,1.321065111,7034
"13",-2.464072811,0.717430353179557,12.84880115,95416.70806,8.01e-07,-1.73e-18,0.106644202,-112.9989154,0.849306274,7410
"14",-2.673797581,0.704494830270746,12.02048276,95402.80981,2.58e-07,-1.73e-18,0.106656477,-105.0858283,0.797251829,9603
"15",-2.985946076,0.706448910883865,12.26897828,95402.44407,-2.3e-08,-1.73e-18,0.106656477,-95.65131409,0.914440557,10940
"16",-5.013691966,0.730757554698767,12.5174738,95424.38866,-2.67e-07,-1.73e-18,0.106656477,-93.7677181,1.02367182,9094
"17",-5.000279335,0.730203335224086,12.76596931,95380.49948,-5.1e-07,-1.73e-18,0.106668753,-94.16191919,1.171467389,25791
"18",-5.09050976,0.717062441486423,12.84880115,95371.72164,-5.85e-07,-1.73e-18,0.106668753,-94.69096231,1.222015982,13472
"19",-4.868591689,0.693656421149795,12.76596931,95349.77705,-6.41e-07,-1.73e-18,0.106668753,-94.95511836,1.215415171,25051
"20",-4.945409483,0.681333775559061,12.5174738,95348.31408,-7.91e-07,-1.73e-18,0.106668753,-98.97811004,1.201325313,14619
"21",-5.7087101,0.691015417854485,12.43464196,95284.67476,-8.1e-07,-1.73e-18,0.106668753,-102.5706438,1.171061038,13431
"22",-5.930628171,0.697297998136137,12.35181012,95270.04503,-8.47e-07,-1.73e-18,0.106668753,-104.0669755,1.15934562,14792
"23",-6.10499237,0.693575117391128,12.76596931,95253.58658,-8.47e-07,-1.73e-18,0.106717854,-90.65031484,1.179660783,9305
"24",-6.007445965,0.702059654677421,12.68313747,95251.75787,-7.72e-07,-1.73e-18,0.106717854,-96.19998159,1.215975471,9820
"25",-6.035490556,0.708677183874718,12.68313747,95324.17502,-9.41e-07,-1.73e-18,0.10673013,-107.3732797,1.243754178,11710
"26",-5.402658255,0.725492886264764,14.33977425,95369.89293,-6.88e-06,-1.73e-18,0.106717854,-106.9530093,1.442780124,19862
"27",3.133871494,0.545753547497349,38.77516667,95392.569,-2.3e-05,-1.73e-18,0.106717854,-111.9716005,1.180788772,31293
"28",3.586242946,0.501343995600992,158.7156692,95383.79117,-4.54e-05,-1.73e-18,0.106717854,-236.078764,0.11032606,18448
"29",3.625261508,0.494614265533645,300.1096179,95314.29996,-6.21e-05,-1.73e-18,0.106717854,-100.0783145,0.468834389,15304
"30",7.516143729,0.372074570653624,369.4398669,95226.52159,-6.67e-05,-1.73e-18,0.106693303,-142.8329078,0.707713917,13456
"31",7.239355805,0.396704755550658,353.5361538,95157.76186,-6.03e-05,-1.73e-18,0.106668753,-191.3021616,1.013591379,11054
"32",6.585794893,0.438712594277308,235.5007837,95171.6601,-4.45e-05,-1.73e-18,0.106644202,-194.4890193,1.227394518,14594
"33",3.491135201,0.630204146546708,71.41091113,95184.09537,-1.45e-05,-1.73e-18,0.106644202,-189.0600782,1.541757074,10228
"34",6.067579618,0.485056296761383,16.32773838,95243.71152,-3.79e-07,-1.73e-18,0.106656477,211.4374018,0.646738263,12800
