ymdh,time_jjj,t2m,d2m,u10,v10,blh,sp,e,tp,fal,wind_direction,wind_speed,bc
2016010108,0,-5.755044642,-7.630426689,-1.152815074,-0.899682521,29.91215993,102269.6386,1.83E-07,-1.73E-18,0.148847165,163.4593619,1.462330753,0
2016010109,1,-5.880635639,-8.006579223,-0.603742597,-0.404772579,63.79038197,102295.9722,-3.38E-06,-1.73E-18,0.148847165,176.4335984,0.726874105,0
2016010110,2,-0.592401169,-5.730095389,-0.650717321,-0.322680749,153.2487678,102253.5459,-1.34E-05,-1.73E-18,0.148847165,199.8803506,0.726330432,0
2016010111,3,0.186750739,-5.640949412,-0.922373034,0.023614673,241.7131716,102207.828,-2.32E-05,-1.73E-18,0.148847165,-278.13597,0.922675276,0
2016010112,4,1.253664542,-4.825589873,-0.788539387,0.466155688,319.3266044,102061.5308,-3.05E-05,-1.73E-18,0.148847165,-186.6419287,0.916021556,0
2016010113,5,3.950822634,-5.386557236,-0.657807845,0.988901366,378.2200418,101954.7337,-3.60E-05,-1.73E-18,0.148822614,-105.6563967,1.187702434,0
2016010114,6,4.139818793,-5.489836111,-0.302838471,1.301699546,405.6373804,101820.8717,-3.62E-05,-1.73E-18,0.148810338,-41.14482833,1.336462812,0
2016010115,7,4.156889414,-5.482226089,-0.059544856,1.374355534,382.19597,101838.7931,-2.32E-05,-1.73E-18,0.148773512,-7.793744025,1.375644839,0
2016010116,8,2.015745829,-4.202655185,-0.14817641,1.785758269,131.1326669,101820.506,-9.37E-06,-1.73E-18,0.148773512,-14.90167674,1.791895322,0
2016010117,9,1.698720013,-4.846245648,-0.001491188,2.538738505,44.24206803,101867.6869,3.33E-07,-1.73E-18,0.148810338,-0.105727229,2.538738943,0
2016010118,10,-2.672578251,-6.026886261,0.420838167,2.088177023,22.7886218,101857.446,1.76E-06,-1.73E-18,0.148847165,35.79658075,2.130161506,0
2016010119,11,-0.688728244,-5.057151982,-0.401219496,1.152613234,13.67711954,101885.974,1.49E-06,-1.73E-18,0.148871716,-60.29588992,1.220448422,0
2016010120,12,0.024579841,-4.712526684,-1.132872974,0.059942667,14.17411057,101905.7241,1.14E-06,-1.73E-18,0.148871716,-273.2280376,1.134457711,0
2016010121,13,-0.125397756,-4.673389426,-0.912180405,-0.185861032,12.68313747,101887.8027,6.70E-07,-1.73E-18,0.148871716,246.5627603,0.930922883,0
2016010122,14,-0.148565027,-4.353768486,-0.517326832,-0.473654229,11.27499622,101888.5342,3.52E-07,-1.73E-18,0.148896266,149.2991521,0.701409567,0
2016010123,15,-2.386035687,-5.585504964,-0.391913183,-0.877980083,12.84880115,101910.4788,5.76E-07,-1.73E-18,0.148896266,75.57117634,0.961480613,0
2016010200,16,-3.769975305,-5.925781678,-0.433570013,-1.434694793,17.48738412,101864.3952,1.19E-06,-1.73E-18,0.148896266,52.82590862,1.49877687,0
2016010201,17,-4.606435726,-6.244315472,-0.460602637,-1.672949818,17.81871147,101850.4969,1.55E-06,-1.73E-18,0.148896266,48.36007329,1.73519909,0
2016010202,18,-4.532056592,-6.229095427,-0.204457446,-1.534714724,15.25092447,101827.8208,1.51E-06,-1.73E-18,0.148896266,23.83954886,1.54827392,0
