"","ymdh","time_jjj","t2m","d2m","u10","v10","blh","sp","e","tp","fal","wind_direction","wind_speed","bc"
"1",2016010108,0,-5.995252664,-8.920869053,0.27503926,-0.762862804,12.60030563,100264.6343,-2.67e-07,-1.73e-18,0.147816028,-62.28534988,0.810929252,6405
"2",2016010109,1,-5.189275495,-8.514276429,0.266176105,-0.662842873,15.83074735,100274.8752,-5.66e-06,-1.73e-18,0.147816028,-68.73423736,0.714290132,4999
"3",2016010110,2,0.144074187,-5.851855747,-0.060874329,-0.473182437,115.146122,100240.4953,-2.09e-05,-1.73e-18,0.147791477,23.03027672,0.477082072,6271
"4",2016010111,3,0.557427077,-6.098637901,-0.448637378,0.127408941,193.8363688,100197.7033,-3.8e-05,-1.73e-18,0.147779201,-232.9363249,0.466378103,5807
"5",2016010112,4,1.343894966,-5.602899301,-0.478772106,0.852081649,279.6501537,100083.2257,-5.16e-05,-1.73e-18,0.14775465,-92.14602169,0.977377034,5924
"6",2016010113,5,4.447089968,-5.642036559,-0.363994244,1.324817361,338.7920865,99978.62316,-5.72e-05,-1.73e-18,0.147693273,-48.26416427,1.373911514,6427
"7",2016010114,6,4.440993318,-5.507230448,-0.191162713,1.341801877,360.9081875,99844.02965,-5.53e-05,-1.73e-18,0.147631896,-25.4726745,1.355350678,6523
"8",2016010115,7,4.300770361,-5.337635664,-0.364437401,1.274807395,319.0781089,99859.75661,-3.96e-05,-1.73e-18,0.147558243,-50.12092259,1.325876508,5423
"9",2016010116,8,2.343745615,-3.68082508,-0.872739363,1.318212271,85.82365107,99847.32134,-1.44e-05,-1.73e-18,0.147521417,-105.2655417,1.580935668,6555
"10",2016010117,9,4.739729183,-4.398341474,-0.801390962,0.585519097,21.04915318,99901.45134,2.2e-07,-1.73e-18,0.147570519,-169.1655604,0.992501933,5464
"11",2016010118,10,0.485486604,-5.106073555,0.017564596,-0.715211799,13.42862402,99860.4881,1.04e-06,-1.73e-18,0.147680998,-4.419658536,0.715427447,4679
"12",2016010119,11,0.075791704,-5.200655261,0.010030914,-0.983189727,14.42260609,99925.22465,1.46e-06,-1.73e-18,0.1477301,-1.836371813,0.983240896,4803
"13",2016010120,12,0.380624219,-5.138687936,0.162034029,-0.650104485,11.68915541,99922.66444,1.51e-06,-1.73e-18,0.147766926,-43.96790147,0.669993185,4316
