,Station,ymdh,time_jjj,t2m,d2m,u10,v10,blh,sp,e,tp,fal,wind_direction,wind_speed,bc
1,daxing,2016063015,4351,31.1918755,19.56018323,-0.355574246,0.032578723,1615.230721,99845.85837,-0.000449271,-1.73E-18,0.162227394,-266.297145,0.357063604,9558
2,daxing,2016063017,4353,30.52734062,20.88432712,-1.234799261,1.640918086,1223.436124,99804.89513,-0.000252529,-1.73E-18,0.162227394,-116.1184426,2.053616659,8404
3,daxing,2016063018,4354,28.50203339,19.75260808,-0.457057375,2.732645069,716.7537667,99891.21053,-0.000168404,-1.73E-18,0.162215119,-29.83035537,2.770604721,6824
4,daxing,2016063019,4355,27.96796682,20.17768219,0.084924577,2.383990687,295.8851941,99920.83573,-7.46E-05,-1.73E-18,0.162215119,6.409405375,2.385502836,4228
5,daxing,2016063020,4356,27.35098581,21.36701997,0.773148594,1.846147661,157.2246961,99957.41005,-2.24E-05,-1.73E-18,0.162215119,71.38785181,2.001504418,3375
6,daxing,2016063021,4357,27.89602635,21.98778037,0.859121201,1.465883207,93.85833943,99985.20653,-5.98E-06,-1.73E-18,0.162215119,95.42150686,1.699088819,3563
7,daxing,2016063022,4358,26.51208673,22.04213767,1.400216838,-0.16557397,34.79923841,100077.0081,-2.20E-06,-1.73E-18,0.162215119,-261.5569364,1.409972316,5582
8,daxing,2016070100,4360,24.8477012,18.5632703,-0.385265817,-2.447160699,114.0693081,100079.5683,-1.09E-05,-1.73E-18,0.162215119,28.10738225,2.477302007,3904
9,daxing,2016070101,4361,24.21121091,16.43463833,-0.465920531,-2.625498123,132.62364,100072.6192,-1.46E-05,-1.73E-18,0.162215119,31.61365762,2.666518767,4922
10,daxing,2016070104,4364,22.97237157,12.19476873,-0.026308023,-2.553313927,127.8193933,100051.0403,-1.83E-05,-1.73E-18,0.162215119,1.854561056,2.553449456,1438
11,daxing,2016070105,4365,22.64437178,12.33066198,-0.141085885,-2.749579453,128.1507207,100023.9753,-1.72E-05,-1.73E-18,0.162215119,9.22803179,2.753196759,927
12,daxing,2016070106,4366,25.02450406,13.08622849,-0.258965852,-3.516713452,207.0066311,100167.3467,-4.20E-05,-1.73E-18,0.162190568,13.23106654,3.526235502,658
13,daxing,2016070107,4367,25.3427492,14.49516977,-1.005243537,-3.334601691,309.9666067,100150.1567,-0.000102618,-1.73E-18,0.162190568,52.70295532,3.482826869,2436
14,daxing,2016070108,4368,25.71220621,15.55948576,-1.393006585,-3.122767025,448.2129455,100201.7265,-0.00018457,-1.73E-18,0.162190568,75.52619759,3.419377318,1671
15,daxing,2016070109,4369,25.6792843,16.41180826,-1.699671762,-3.381309111,661.0079392,100174.6615,-0.000266485,-1.73E-18,0.162190568,83.84017611,3.784459724,1982
