,Unnamed: 0,TEMP,RH,PM2.5,BC
2,2,0.2,27.924,10.0,2314.0
5,5,-2.7,18.9229,16.0,503.0
8,8,-3.2,15.9815,5.0,248.0
11,11,0.9,12.0459,34.0,1092.0
14,14,2.8,6.0201,20.0,5438.0
17,17,4.8,2.9888,7.0,1280.0
20,20,-0.1,8.0018,33.0,455.0
23,23,-3.1,12.9707,28.0,317.0
26,26,-5.0,22.0912,26.0,1375.0
29,29,-7.0,28.1191,5.0,1506.0
32,32,-8.2,27.9943,12.0,982.0
35,35,-5.2,22.0333,40.0,5271.0
38,38,0.7,10.958,31.0,7837.0
41,41,4.5,7.9879999999999995,13.0,3017.0
44,44,-1.1,14.972999999999999,43.0,1035.0
47,47,-4.4,20.9251,54.0,868.0
50,50,-4.3,28.9555,82.0,5220.0
53,53,-4.8,28.0632,17.0,1607.0
56,56,-5.5,31.9824,29.0,1481.0
59,59,-3.0,24.0953,47.0,3052.0
62,62,0.5,33.0365,54.0,960.0
65,65,3.3,19.0617,44.0,276.0
68,68,1.4,7.9647,37.0,19.0
71,71,-1.3,11.0422,19.0,518.0
74,74,-3.7,30.9332,13.0,2002.0
77,77,-6.9,35.906,3.0,870.0
80,80,-8.2,45.8951,26.0,570.0
83,83,-4.4,29.9358,43.0,4627.0
86,86,1.3,14.0008,15.0,5354.0
89,89,5.3,5.9888,14.0,1027.0
92,92,0.3,10.9744,26.0,354.0
95,95,-4.8,25.0588,92.0,535.0
98,98,-5.4,24.0158,35.0,2409.0
101,101,-7.3,29.0318,7.0,1076.0
104,104,-8.4,29.9883,21.0,1007.0
107,107,-4.3,23.0943,56.0,6263.0
110,110,1.7,10.0123,28.0,15333.0
113,113,7.2,5.9857,26.0,13573.0
116,116,-0.2,15.0601,57.0,3131.0
119,119,-1.0,19.0508,180.0,2061.0
122,122,-4.1,31.0724,113.0,25771.0
125,125,-5.8,36.8763,53.0,7724.0
128,128,-5.5,39.8854,55.0,507.0
131,131,1.3,18.0529,121.0,955.0
134,134,6.6,11.0066,84.0,3515.0
137,137,7.2,11.0341,16.0,618.0
140,140,4.2,16.0131,49.0,390.0
143,143,1.1,21.0133,59.0,386.0
146,146,-2.1,29.8852,25.0,2567.0
149,149,-4.2,38.012,11.0,1145.0
152,152,-5.4,41.972,22.0,633.0
155,155,-2.6,32.0743,44.0,7569.0
158,158,3.4,16.9414,20.0,2378.0
161,161,6.8,10.0299,20.0,1514.0
164,164,4.3,13.9697,79.0,23.9
167,167,2.3,16.9515,63.0,1159.0
170,170,-1.9,25.9289,38.0,2403.0
173,173,-4.5,34.8586,16.0,1561.0
176,176,-5.8,38.1472,16.0,768.0
179,179,-1.9,27.0572,59.0,5687.0
182,182,4.2,13.0055,19.0,2433.0
185,185,7.8,6.0172,16.0,869.0
188,188,2.5,11.0359,32.0,16.4
191,191,2.8,17.9826,64.0,500.0
194,194,1.6,19.9285,11.0,4772.0
197,197,-0.6,22.9716,7.0,639.0
200,200,-2.1,26.090999999999998,17.0,941.0
203,203,-0.2,24.090999999999998,49.0,534.0
206,206,2.9,20.9807,21.0,716.0
209,209,0.8,26.0761,28.0,-45.0
212,212,0.6,12.994000000000002,33.0,547.0
215,215,-1.2,6.0089,24.0,733.0
218,218,-4.8,13.9398,8.0,2948.0
221,221,-6.8,18.9921,10.0,1807.0
224,224,-8.4,37.9714,9.0,554.0
227,227,-5.1,29.9755,48.0,1035.0
230,230,1.1,9.019,25.0,7965.0
233,233,3.7,3.9815,12.0,1208.0
236,236,-1.0,7.9946,22.0,365.0
239,239,-3.7,15.0095,82.0,181.0
242,242,-5.5,21.9463,20.0,1592.0
245,245,-7.6,26.9589,7.0,829.0
248,248,-9.7,32.049,14.0,1112.0
251,251,-6.0,23.0034,37.0,5076.0
254,254,1.3,8.9731,24.0,6187.0
257,257,6.2,4.9759,24.0,5080.0
260,260,0.7,10.958,41.0,590.0
263,263,-3.8,17.9666,88.0,406.0
266,266,-3.7,18.9872,29.0,2672.0
269,269,-6.0,24.918000000000003,10.0,453.0
272,272,-7.9,28.0877,25.0,416.0
275,275,-3.6,20.9665,49.0,7604.0
278,278,2.9,8.0041,23.0,9848.0
281,281,8.1,4.986000000000001,15.0,2705.0
284,284,0.3,12.0227,38.0,985.0
287,287,-2.7,19.9545,136.0,724.0
290,290,-6.4,29.058000000000003,56.0,3134.0
293,293,-6.4,28.0582,15.0,1842.0
296,296,-8.0,32.0252,76.0,1876.0
299,299,-3.0,20.9516,105.0,2652.0
311,311,-0.6,10.9867,93.0,859.0
314,314,-4.1,19.9184,51.0,2217.0
317,317,-5.8,26.1034,9.0,1917.0
320,320,-7.6,33.0041,18.0,72.0
323,323,-2.3,22.0928,57.0,4374.0
326,326,4.1,10.9748,38.0,6489.0
329,329,7.0,2.0093,11.0,2517.0
332,332,2.0,5.0051,39.0,691.0
335,335,-3.5,12.9981,40.0,30.0
338,338,-4.8,18.0226,25.0,972.0
341,341,-6.6,23.0322,8.0,1553.0
344,344,-8.3,26.983,12.0,2563.0
347,347,-4.6,19.9569,42.0,2786.0
350,350,2.7,6.0054,21.0,1321.0
353,353,6.1,7.0162,30.0,230.0
356,356,4.4,13.0508,39.0,66.0
359,359,2.1,19.0642,32.0,922.0
362,362,1.6,22.0686,20.0,1765.0
365,365,-0.7,45.92100000000001,4.0,603.0
368,368,-3.7,53.7858,16.0,755.0
371,371,1.1,4.9846,49.0,1091.0
374,374,3.4,3.0105,20.0,871.0
377,377,4.2,3.9985,10.0,474.0
380,380,0.4,8.9709,19.0,335.0
383,383,-1.9,16.0239,18.0,250.0
386,386,-4.2,25.9066,8.0,1645.0
389,389,-6.7,33.0034,4.0,724.0
392,392,-8.5,36.0169,21.0,934.0
395,395,-5.9,27.9677,48.0,4271.0
398,398,0.1,14.9999,23.0,6531.0
401,401,3.6,8.9904,26.0,1617.0
404,404,-0.5,13.9488,32.0,712.0
407,407,-4.1,22.9504,85.0,546.0
410,410,-6.3,30.121,31.0,1716.0
413,413,-7.5,33.0359,11.0,1331.0
416,416,-8.9,34.0542,11.0,1422.0
419,419,-5.0,23.9231,42.0,3629.0
422,422,2.1,11.9847,26.0,4479.0
425,425,5.7,7.9773,28.0,6173.0
428,428,-0.4,15.0109,32.0,891.0
431,431,-4.2,21.9323,90.0,724.0
434,434,-6.2,32.8774,67.0,1617.0
437,437,-6.8,32.1257,21.0,3137.0
440,440,-8.2,34.88,23.0,1149.0
443,443,-3.0,20.0477,54.0,1809.0
455,455,3.8,21.9506,42.0,1476.0
458,458,2.5,25.0878,25.0,15933.0
461,461,0.6,37.953,6.0,934.0
464,464,-2.1,46.9864,33.0,3269.0
467,467,4.1,27.9485,149.0,2039.0
470,470,8.4,6.9996,17.0,531.0
473,473,8.5,4.0148,49.0,321.0
476,476,6.0,5.9786,48.0,558.0
479,479,3.1,6.9891,30.0,1179.0
482,482,-0.4,13.9726,13.0,6104.0
485,485,-1.5,15.9821,6.0,1059.0
488,488,-5.4,24.0158,11.0,163.0
491,491,-0.7,17.0684,49.0,1440.0
494,494,2.9,9.9774,16.0,545.0
497,497,4.1,9.0017,10.0,238.0
500,500,1.1,11.9813,28.0,262.0
503,503,-1.1,18.0469,30.0,80.0
506,506,-2.8,21.0081,6.0,1678.0
509,509,-5.0,25.8904,2.0,1031.0
512,512,-7.6,33.8764,16.0,716.0
515,515,-4.8,25.9509,37.0,2223.0
518,518,1.2,7.0120000000000005,19.0,764.0
521,521,2.9,4.9773,11.0,381.0
524,524,-0.6,6.9865,28.0,199.0
527,527,-2.4,9.0342,26.0,417.0
530,530,-5.0,17.0141,12.0,1663.0
533,533,-7.4,21.9864,5.0,652.0
536,536,-9.4,25.93,14.0,976.0
539,539,-6.1,20.0762,65.0,3143.0
542,542,0.3,9.0361,20.0,6875.0
545,545,4.1,3.9872,26.0,401.0
548,548,-0.5,8.007,26.0,280.0
551,551,-1.9,10.0336,54.0,462.0
554,554,-5.0,15.9582,10.0,1728.0
557,557,-7.2,21.0683,5.0,790.0
560,560,-8.9,24.0445,12.0,687.0
563,563,-5.9,18.0537,29.0,4741.0
566,566,0.8,8.0094,15.0,6203.0
569,569,5.2,3.9935,17.0,671.0
572,572,0.4,8.0144,39.0,391.0
575,575,-1.0,11.9548,75.0,410.0
578,578,-2.4,13.013,11.0,5034.0
581,581,-3.8,14.9847,5.0,884.0
584,584,-4.5,16.9908,12.0,1060.0
587,587,-0.8,16.0167,31.0,2531.0
590,590,1.6,24.0069,18.0,680.0
593,593,2.1,20.0654,18.0,802.0
596,596,-0.9,40.9866,31.0,619.0
599,599,-1.8,39.0816,23.0,1665.0
602,602,-2.9,56.2006,9.0,1449.0
605,605,-4.9,64.7878,4.0,563.0
608,608,-6.6,53.8353,6.0,505.0
611,611,-3.6,50.8704,41.0,1151.0
614,614,0.9,27.9034,22.0,2282.0
617,617,1.3,18.0529,12.0,3412.0
620,620,-0.1,18.963,31.0,866.0
623,623,-1.1,22.054000000000002,27.0,1515.0
626,626,-2.7,27.0455,29.0,2827.0
629,629,-3.4,37.0124,15.0,1999.0
632,632,-5.4,36.0749,12.0,928.0
635,635,-3.3,32.1261,70.0,1663.0
638,638,-1.1,39.9425,82.0,3013.0
641,641,-0.1,38.9758,38.0,1567.0
644,644,-2.7,60.8693,38.0,534.0
647,647,-4.9,71.7885,46.0,540.0
650,650,-6.1,60.9693,25.0,1318.0
653,653,-7.3,69.0478,13.0,1733.0
656,656,-7.3,60.1666,16.0,630.0
659,659,-4.6,45.853,35.0,1708.0
662,662,2.0,24.9413,31.0,961.0
665,665,3.8,16.0511,19.0,643.0
668,668,1.1,18.9584,27.0,464.0
671,671,-1.7,26.8885,25.0,197.0
674,674,-4.2,34.9531,15.0,2035.0
677,677,-6.6,38.873000000000005,9.0,668.0
680,680,-8.1,39.0624,14.0,901.0
683,683,-4.9,30.0378,33.0,3683.0
686,686,1.4,19.0392,20.0,20666.0
689,689,6.4,10.0401,27.0,21520.0
692,692,3.2,13.9555,66.0,1049.0
695,695,-2.2,34.135,180.0,835.0
698,698,-4.4,36.0861,97.0,2449.0
701,701,-5.7,30.0476,25.0,1448.0
704,704,-7.2,34.8966,26.0,1908.0
707,707,-2.2,19.0592,57.0,4700.0
719,719,1.9,19.0105,140.0,471.0
722,722,-0.7,23.9447,40.0,2159.0
725,725,-2.2,23.9156,10.0,887.0
728,728,-4.6,27.8826,14.0,731.0
731,731,-0.9,19.9287,44.0,4960.0
743,743,8.6,6.0224,60.0,549.0
746,746,3.2,14.965,34.0,3025.0
749,749,0.6,18.9875,30.0,1381.0
752,752,-1.8,23.0195,35.0,646.0
764,764,7.0,6.0123,43.0,329.0
767,767,6.0,7.0002,29.0,1433.0
770,770,2.2,12.0066,24.0,2929.0
773,773,-1.3,17.0634,14.0,1185.0
776,776,-3.6,21.9118,15.0,2915.0
779,779,-0.1,14.9509,41.0,4292.0
791,791,1.9,18.0554,206.0,176.0
794,794,1.3,13.0374,21.0,4958.0
797,797,-1.7,22.0731,18.0,988.0
800,800,-3.9,28.0976,50.0,1400.0
812,812,10.2,0.9956,34.0,187.0
815,815,5.5,3.9883,132.0,549.0
818,818,3.6,6.0233,22.0,2090.0
821,821,-0.3,9.9815,8.0,219.0
824,824,-3.5,16.9456,24.0,357.0
827,827,-0.1,12.9507,40.0,10625.0
839,839,0.8,22.0287,155.0,87.0
842,842,1.1,15.931,45.0,2005.0
845,845,-1.5,21.0079,20.0,687.0
848,848,-3.3,24.0066,13.0,3376.0
860,860,11.4,8.9904,24.0,469.0
863,863,5.8,12.0462,,686.0
866,866,1.8,16.9699,43.0,1641.0
869,869,0.7,20.0239,13.0,1526.0
872,872,-1.5,23.9152,19.0,3511.0
875,875,3.2,14.965,37.0,4631.0
887,887,8.6,9.0283,92.0,440.0
890,890,4.8,12.0402,19.0,2091.0
893,893,1.9,15.042,7.0,1312.0
896,896,-1.1,20.9383,11.0,958.0
899,899,3.9,13.9977,35.0,1532.0
911,911,10.1,7.0168,90.0,2857.0
914,914,5.6,10.9934,47.0,3910.0
917,917,4.0,10.9541,8.0,789.0
920,920,1.8,13.0353,14.0,223.0
923,923,7.0,9.9808,108.0,1338.0
926,926,10.0,8.9692,23.0,775.0
929,929,11.1,7.9775,18.0,373.0
932,932,8.1,14.0148,24.0,192.0
935,935,3.3,47.1115,51.0,1316.0
938,938,0.3,68.0327,34.0,1332.0
941,941,-1.6,81.7858,27.0,1258.0
944,944,-2.2,74.0067,43.0,999.0
947,947,0.7,60.788000000000004,58.0,597.0
950,950,5.8,36.89,42.0,735.0
953,953,8.2,15.015999999999998,16.0,263.0
956,956,5.6,12.0028,16.0,124.0
959,959,2.8,29.9007,18.0,330.0
962,962,1.5,35.0019,13.0,5129.0
965,965,-0.4,42.1438,8.0,1515.0
968,968,-1.3,43.9416,18.0,237.0
971,971,1.8,32.1107,157.0,-320.0
974,974,7.6,10.0101,54.0,2015.0
977,977,10.4,6.0078,5.0,547.0
980,980,6.5,7.0159,6.0,259.0
983,983,1.9,15.9921,34.0,302.0
986,986,0.3,30.8772,13.0,870.0
989,989,-1.4,38.888000000000005,6.0,497.0
992,992,-3.5,45.813,22.0,608.0
995,995,2.6,27.0524,40.0,882.0
998,998,9.5,5.9875,17.0,776.0
1001,1001,11.2,4.0105,12.0,142.0
1004,1004,8.8,4.9827,19.0,96.0
1010,1010,4.9,8.9874,19.0,2212.0
1013,1013,3.4,11.0257,5.0,1247.0
1016,1016,-0.9,15.0222,14.0,478.0
1019,1019,4.9,8.9874,25.0,742.0
1022,1022,9.4,5.9731,21.0,1526.0
1025,1025,14.1,3.9942,9.0,688.0
1028,1028,12.4,3.9930000000000003,17.0,230.0
1031,1031,8.7,9.9624,34.0,595.0
1034,1034,7.1,10.0004,24.0,4378.0
1037,1037,7.9,5.0071,10.0,717.0
1040,1040,3.9,8.9644,9.0,1109.0
1043,1043,8.3,7.9936,55.0,516.0
1046,1046,12.4,3.9930000000000003,3.0,339.0
1049,1049,14.6,3.0051,17.0,369.0
1052,1052,11.3,3.984,5.0,492.0
1055,1055,10.2,4.0132,21.0,484.0
1058,1058,8.7,3.9988,7.0,1115.0
1061,1061,4.6,6.9697,2.0,145.0
1064,1064,2.5,9.9889,11.0,519.0
